# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.artifact.entities.serializer.save.entities.ms,1697550053966000000,1697550113995000000,0
workspaceModel.global.apply.state.to.project.ms,1697550053966000000,1697550113995000000,8
jps.library.entities.serializer.save.entities.ms,1697550053966000000,1697550113995000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1697550053966000000,1697550113995000000,623
jps.storage.jps.conf.reader.load.component.ms,1697550053966000000,1697550113995000000,66
workspaceModel.mutableEntityStorage.add.diff.ms,1697550053966000000,1697550113995000000,88
workspaceModel.mutableEntityStorage.collect.changes.ms,1697550053966000000,1697550113995000000,2
jps.global.get.library.ms,1697550053966000000,1697550113995000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1697550053966000000,1697550113995000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1697550053966000000,1697550113995000000,7
jps.load.project.to.empty.storage.ms,1697550053966000000,1697550113995000000,410
jps.save.global.entities.ms,1697550053966000000,1697550113995000000,0
jps.global.initialize.library.bridges.ms,1697550053966000000,1697550113995000000,18
IndexesFlusher.totalFlushes,1697550053966000000,1697550113995000000,56
Indexes.stubs.lookupDuration90PMs,1697550053966000000,1697550113995000000,1.0
Indexes.entries.lookupDurationAvgMs,1697550053966000000,1697550113995000000,0.7028824833702882
VFSFlusher.totalFlushes,1697550053966000000,1697550113995000000,6
Indexes.entries.lookupDuration90PMs,1697550053966000000,1697550113995000000,1.0
IndexesFlusher.totalFlushingTimeUs,1697550053966000000,1697550113995000000,789716
Indexes.allKeys.lookupDurationMaxMs,1697550053966000000,1697550113995000000,110.0
Indexes.stubs.lookupDurationAvgMs,1697550053966000000,1697550113995000000,0.5265074868474302
IndexesFlusher.totalFlushesRetried,1697550053966000000,1697550113995000000,0
VFSFlusher.totalFlushesRetried,1697550053966000000,1697550113995000000,0
VFSFlusher.totalFlushingTimeUs,1697550053966000000,1697550113995000000,28479
Indexes.entries.lookups,1697550053966000000,1697550113995000000,451.0
Indexes.allKeys.lookupDuration90PMs,1697550053966000000,1697550113995000000,110.0
Indexes.entries.lookupDurationMaxMs,1697550053966000000,1697550113995000000,50.0
IndexesFlusher.totalContentionQuotaSpent,1697550053966000000,1697550113995000000,0
Indexes.allKeys.lookups,1697550053966000000,1697550113995000000,3.0
Indexes.allKeys.lookupDurationAvgMs,1697550053966000000,1697550113995000000,37.0
Indexes.stubs.lookupDurationMaxMs,1697550053966000000,1697550113995000000,105.0
Indexes.stubs.lookups,1697550053966000000,1697550113995000000,2471.0
VFSFlusher.totalContentionQuotaSpent,1697550053966000000,1697550113995000000,0
JVM.usedNativeBytes,1697550053966000000,1697550113995000000,501668776
JVM.totalCpuTimeMs,1697550053966000000,1697550113995000000,41843
JVM.GC.collectionTimesMs,1697550053966000000,1697550113995000000,345
JVM.maxHeapBytes,1697550053966000000,1697550113995000000,2147483648
JVM.GC.collections,1697550053966000000,1697550113995000000,34
JVM.usedHeapBytes,1697550053966000000,1697550113995000000,713648352
JVM.maxNativeBytes,1697550053966000000,1697550113995000000,-1
OS.loadAverage,1697550053966000000,1697550113995000000,-1.0
JVM.threadCount,1697550053966000000,1697550113995000000,143
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1697550113995000000,1697550173979000000,460
StreamlinedBlobStorage.recordsRelocated,1697550113995000000,1697550173979000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1697550113995000000,1697550173979000000,539049984
DirectByteBufferAllocator.hits,1697550113995000000,1697550173979000000,98
StorageLockContext.competingThreads.avg,1697550113995000000,1697550173979000000,0.008333333333333333
FilePageCache.pageHits,1697550113995000000,1697550173979000000,899
